exp_id,company,start_year,years,role
507,MediaTek Inc.,2002,2007,software quality assurance engineer
508,Mindworksglobal,2004,2009,technical support manager
509,Rentokil India Pte Ltd,2002,2005,restaurant general manager
510,SUREMED LIFECARE PVT. LTD.,2004,2008,medical doctor phd
511,AeroLeads,2008,2012,quality specialist
512,EXTRANET SOFTWARE SOLUTIONS PRIVATE LIMITED,2008,2013,founder and owner
513,Jupiter Infomedia Ltd.,2005,2008,auditora
514,Laksh Human Resource India Private Limited,2003,2008,network engineer
515,Kaizen SRA Technologies Pvt. Ltd.,2005,2010,conseiller ventes
516,TalentMate Consultants,2002,2004,customer advisor
517,FEATHERLITE DEVELOPERS (P) LTD,2003,2008,diretora
518,Hanu Reddy Realty India Pvt.Ltd.,2003,2007,client service associate
519,V Resorts,2002,2005,desempleado
520,Lynchpin HR Services,2006,2011,inventory analyst
521,Kony India Private Limited.,2005,2008,tekniker
522,AppLift,2000,2002,supervisora
523,Zebronics,2005,2006,responsable commercial
524,Launchship Technology Solutions Pvt. Ltd.,2001,2003,auxiliar de contabilidad
525,National Institute of Public Co-operation and Child Development,2005,2010,directeur général
526,SmartERP Consulting Private Limited.,2005,2010,firefighter/emt
527,Unimax,2006,2011,fisioterapeuta
528,PeopleStrong HR Services Pvt. Ltd.,2000,2002,english tutor
529,Tamada Media Private Limited,2006,2008,forklift operator
530,Avenues India Pvt Ltd,2002,2004,assistante marketing
531,Citrix Systems India Pvt Ltd,2002,2007,delivery
532,Reed Elsevier plc,2004,2005,critical care registered nurse
533,CStone Software Solutions Pvt. Ltd.,2003,2008,ingeniero de sistemas
534,Cognam Technologies Private Limited,2000,2005,tecnico informatico
535,Pure Energy,2005,2010,delivery manager
536,Nihar Info Global Ltd.,2002,2004,delegado comercial
537,BizAcuity,2007,2010,telecommunications engineer
538,IndiaMart,2001,2004,letter carrier
539,EMERSON INNOVATION CENTER - PUNE,2005,2008,support staff
540,Hirebridge LLC,2003,2005,redactor
541,Micronova group,2001,2003,system specialist
542,SYKES & RAY EQUITIES (I) LTD,2003,2006,faculty member
543,RedCooker Whitefield,2002,2007,head of school
544,Career Landmark Placement Services,2003,2008,transportation engineer
545,Zing Consultants,2010,2020,senior brand manager
546,Dynacons Systems & Solutions Ltd.,2001,2005,inventory specialist
547,Firepro Systems Pvt Ltd,2001,2005,research assistant
548,Continental Automotive Components (India) Pvt Ltd,2001,2006,cnc operator
549,PS Consultant,2006,2008,field sales manager
550,vEnrichU,2005,2010,back office
551,Inflectica Technologies Pvt. Ltd,2010,2012,projektmanager
552,REACH Technologies,2000,2002,home mom
553,FirstNaukri.com,2005,2010,software trainee
554,Apex Consultants,2002,2005,head of it
555,Re-route Dreams Consultancy LLP,2002,2003,techniek
556,Out of Box,2002,2004,biologist
557,V Mart Retail Ltd,2002,2007,corporate recruiter
558,BSL Pvt. Ltd.,2000,2001,master thesis
559,Prince Gold and Diamonds India Pvt. Ltd.,2002,2005,freelance illustrator
560,Landsky Engineers Pvt. Ltd.,2004,2009,mantenimiento
561,sykes & ray equities india ltd,2000,2003,consulting engineer
562,IndiaNivesh,2002,2005,law student
563,LAYFIELD BARRETT KPO SERVICES PRIVATE LIMITED,2005,2008,begeleider
564,Justice and Care,2006,2011,information technology executive
565,Digicore Technologies Pvt. Ltd.,2002,2007,enterprise architect
566,Prodcon Tech Services Pvt Ltd,2007,2010,draughtsman
567,Wizie Com India Private Limited,2002,2005,manager or supervisor
568,Kripya Engineering Private Limited,2002,2005,new business manager
569,Tech Synergy,2002,2007,insurance consultant
570,Barclays Shared Services Pvt. Ltd,2001,2004,system admin
571,"Hisolve, Inc.",2002,2005,news reporter
572,Tempindia Staffing Services Pvt. Ltd. (TISS),2005,2010,information technology project manager
573,Irdeto Technology India Pvt. Limited,2000,2001,supervisor de ventas
574,Edventus,2003,2005,coordenador de ti
575,ROSMERTA TECHNOLOGIES lIMITED,2002,2004,titolare
576,Odishia Business Solutions (P) Ltd,2002,2007,agente de viajes
577,TechXimum Solutions,2008,2013,managing attorney
578,Powai Labs.,2003,2008,broker
579,Pluto Technologies Pvt.Ltd,2002,2006,collector
580,SwitchMe,2002,2005,medical receptionist
581,Future Domain Services Private Limited,2008,2012,empresário
582,Dreamland Publications,2008,2012,stock broker
583,Sedum Soft Pvt Ltd,2003,2006,directeur technique
584,People Konnect,2002,2004,dyrektor
585,Ranika Exports Design,2005,2007,design director
586,Fountainhead Digital | Digital Marketing Agency,2003,2006,chargé de projet
587,GTech Consulting,2003,2005,human resources recruiter
588,Flags Communications Pvt Ltd,2004,2007,senior team leader
589,Alkem Laboratories Ltd,2010,2015,network admin
590,Hallmark Global Technologies,2002,2007,art instructor
591,MM Enterprises,2000,2005,software development intern
592,Dream Destination Overseas Pvt Ltd,2005,2010,staffing manager
593,Datamatics Staffing Services Ltd,2008,2013,sales support
594,bodhtree consulting ltd,2003,2006,server/bartender
595,Arete Careers (OPC) Pvt Ltd,2008,2012,enfermeira
596,Gudah Consultants,2010,2015,chairperson
597,Leading one leading internet companies,2001,2002,president and owner
598,SUPERIOR GROUP,2002,2007,gis analyst
599,PHOENIX TAX SERVICES PVT LTD,2000,2000,empresas
600,Step In Career,2000,2003,regional business manager
601,Unmetric Technologies Private Limited,2000,2005,maintenance manager
602,infibeam,2006,2010,admin assistant
603,Appronix Technologies Pvt Ltd,2002,2005,technical support analyst
604,Enrich Solutions,2006,2008,showroom manager
605,Expert Consultant,2001,2005,payroll assistant
606,Infibeam.com,2001,2003,traffic manager
607,Elixir Computech Pvt. Ltd.,2007,2010,relationship banker
608,USHA International Ltd.,2005,2010,economist
609,Century Plyboards (I) Limited,2003,2008,diseñadora
610,SAN Data Systems,2008,2010,ceo & founder
611,Cadem Technologies Pvt. Ltd.,2000,2002,warehouse operative
612,Directorate of Poultry Research,2010,2015,officer
613,Excel HR Solutions Private Limited,2007,2010,sourcing specialist
614,Lakshya Digital Pvt. Ltd.,2008,2010,it technician
615,"Chilltern International, Inc",2004,2006,security consultant
616,Human Factor,2004,2009,founder & president
617,A T L A S Systems Pvt LTD,2015,2025,graduate intern
618,Concern India Foundation,2001,2005,venezuela
619,Placewell Consultants,2000,2001,allround medewerker
620,Oasis consultant india,2010,2015,reporting analyst
621,ErgodE IT Services Pvt. Ltd.,2000,2005,managing principal
622,Niojak Technologies Pvt. Ltd,2008,2010,program supervisor
623,Parentlane-Startup jobs,2005,2006,section manager
624,Gallup India Private Limited,2001,2006,student ambassador
625,EOK Technologies Info Systems Pvt. Ltd.,2002,2007,computer specialist
626,Microntech Engineers,2001,2003,physician
627,Mainstay Teleservices Pvt Ltd,2005,2010,it director
628,TechEra IT Consulting Pvt Ltd.,2000,2002,psychotherapist
629,Alpha Design Technologies Pvt Ltd,2005,2006,superviseur
630,Tectonics Technologies Pvt. Ltd.,2001,2004,advertising
631,Bridging Talents,2004,2009,profesora de inglés
632,B2B Software Technologies Ltd,2000,2001,construction supervisor
633,Opalina Technologies Private Limited,2002,2004,shipping manager
634,FactSpan Analytics,2003,2005,supervisor de obra
635,Cube InfoTech,2000,2003,senior financial advisor
636,The Banjara,2010,2014,full time student
637,Orange Tech Solutions,2003,2008,food and beverage assistant
638,Audi India Ltd,2002,2004,youth worker
639,Crown Solutions India (P) Ltd,2002,2007,costumer service
640,Adroit Synergies Private Limited,2005,2008,data analyst intern
641,Amplitude Software Systems Pvt Ltd,2007,2012,maintenance worker
642,Blue Rose Technologies Pvt. Ltd,2001,2001,managing consultant
643,Seaga India Pvt. Ltd,2000,2003,customer experience manager
644,[x]cube LABS,2002,2004,photojournalist
645,Success Mantra,2003,2004,gerente de projetos
646,Manning Consultant,2003,2006,science teacher
647,VivaConnect Pvt. Ltd.,2003,2006,mayor
648,Xchanging,2001,2003,pharmacy manager
649,Vakrangee Softwares Ltd,2002,2007,process specialist
650,Reed Elsevier India Pvt Ltd,2010,2015,business unit manager
651,Career Catalysts,2001,2004,computer scientist
652,"S P Apparels Ltd., ( Retail Division) - Brand Crocodile",2000,2002,accounts payable
653,Ni Analytics,2002,2007,plant operator
654,The Executive Centre,2010,2015,students
655,LM Wind Power Technologies (India) Pvt Ltd,2003,2007,analista funcional
656,Momark Services,2000,2001,benefits consultant
657,SPICE WEB SERVICES,2003,2006,first sergeant
658,Safeway Technologies Pvt. Ltd.,2003,2006,make up artist
659,SANOVI TECHNOLOGIES PVT. LTD,2006,2008,logistics supervisor
660,ProdEx Technologies,2002,2007,food server
661,C Drive HR Services,2000,2003,united nations
662,ORVITO,2003,2008,dueño
663,Vijay Group,2000,2005,porteiro
664,Netzland Telecom India Pvt. Ltd,2015,2018,shop supervisor
665,Airmesh Communications Ltd,2003,2005,electrical supervisor
666,IT Niche India Pvt. Ltd,2002,2007,business head
667,Yashraj Biotechnology Ltd.,2015,2022,assistant quantity surveyor
668,Real Page India,2003,2005,employee
669,Aspire ERP Systems,2004,2009,sales support specialist
670,KORES (India) Ltd,2001,2004,caseworker
671,Edgeverve Systems Limited,2002,2005,contracting officer
672,"I Marque Solutions (P) Ltd.,",2002,2003,server
673,SYS SOFTECH,2005,2010,lead cashier
674,Leaf Innovation Pvt. Ltd,2006,2011,audit associate
675,Aaxeleron Technology Solutions Pvt. Ltd.,2000,2001,analista de crédito
676,Loop 365 - Startup,2003,2008,tenho uma empresa e tenho funcionários
677,Tega industries ltd,2000,2000,mental health counselor
678,The Millennium Organisation,2006,2011,solutions consultant
679,Sysbiz Technologies Pvt. Ltd.,2007,2010,territory sales manager
680,Happy Placements,2002,2007,respiratory therapist
681,Lakshya Management Services Pvt. Ltd.,2000,2004,landman
682,Crayon Infotech Pvt. Ltd.,2000,2005,camera operator
683,Pulz,2004,2007,vice president sales
684,EDS Technologies Pvt. Ltd.,2010,2018,senior quality assurance analyst
685,Tessolve Semiconductor Pvt. Ltd,2005,2010,unilever
686,JoulestoWatts Business Solutions Pvt Ltd,2003,2008,customer service executive
687,Midas Software,2003,2007,asociado
688,Ramboll India Private Limited,2003,2004,patient access representative
689,POPCORNAPPS SOFTWARE PVT LTD,2000,2001,consultor técnico
690,Zirca Digital Solutions Pvt. Ltd.,2002,2007,conferente
691,Amiti Software Technologies Pvt Ltd,2007,2009,york
692,Celerity Infosolutions Pvt. Ltd.,2002,2005,creative manager
693,CYBERLINKS TECHNOLOGIES,2003,2008,patient care assistant
694,Techcom Technologies Private Limited,2010,2015,faculty
695,lobo staffing solution Pvt Ltd,2002,2003,servidor publico
696,Emind Technologies :,2003,2005,head lifeguard
697,Quinnox Consultancy Services,2002,2004,services
698,Hiring Street,2003,2008,material planner
699,Cloudtail India Pvt Ltd.,2003,2008,quality assurance specialist
700,Hindustan Thompson Associate Private Limited(Division Of IMRB International),2005,2008,claims examiner
701,ZOBELLO,2000,2003,hr assistant
702,WRENCH Solutions (P) Ltd,2003,2004,electrical engineer
703,ServiceMax Technologies India Pvt Ltd,2004,2008,community liaison
704,Qtech Software Pvt. Ltd,2010,2013,engineering
705,Ascent Techno People,2010,2012,mining engineer
706,Pcds Infotech,2013,2023,general foreman
707,Ikya Human Capital Solutions,2005,2006,graduate engineer
708,Webkeon Technologies,2005,2006,callcenter agent
709,Zodiac Learning Systems,2002,2005,wealth management intern
710,Allies Interactive Services Pvt. Ltd.,2005,2010,high school teacher
711,Knowledge Splice Service Pvt. Ltd,2010,2020,factory worker
712,L BRANDS,2002,2005,self-employed
713,Ravesoft Solutions Pvt. Ltd,2001,2006,financial planner
714,Smartlink Network Systems Ltd.,2004,2007,officer manager
715,ArthaYantra Corporation Private Limited,2008,2010,legal clerk
716,Inspiring Spaces,2001,2002,special projects coordinator
717,Makoto HR Solutions,2012,2015,real estate sales
718,Manavta Cancer Centre,2001,2003,ejecutiva de cuenta
719,kodiak networks,2008,2013,senior project coordinator
720,Reputed System Integration Company,2000,2003,socio fundador
721,zaakpay,2011,2013,softwareentwickler
722,USM Business Systems,2001,2002,it consultant
723,Daedalus Consulting Private Limited,2004,2009,säljare
724,Client of aaims,2005,2010,office associate
725,Mercury Travels Ltd,2008,2013,socio
726,Innasoft Technologies Pvt ltd,2002,2005,firefighter/paramedic
727,Sapient,2006,2008,secretária executiva
728,Kodiak Networks India Pvt. Ltd,2005,2007,técnico em eletrônica
729,RupeeZone,2008,2013,it assistant
730,visions,2007,2010,teleoperadora
731,ECCENTRIC ENGINE PVT. LTD.,2002,2004,fourth grade teacher
732,Shorebird Technologies Private - Startup,2002,2004,principal scientist
733,Planman HR Pvt. Ltd.,2006,2011,human resource
734,SoftNice,2008,2013,soldier
735,dial call bpo 7838546643,2000,2001,general/technical
736,RethinkingWeb,2001,2003,information officer
737,Digital Harbor,2001,2006,crew member
738,Inlustris Consultants,2010,2018,vice president human resources
739,Orcapod Consulting Services,2001,2002,cook
740,Rockwell Automation India Pvt Ltd,2010,2014,support
741,GLOOB INTERIOR DESIGN PVT. LTD.,2005,2010,butikssäljare
742,Breter Managings,2002,2004,youth director
743,Global Consultant,2002,2004,division manager
744,Concept2Silicon Systems Private Limited,2005,2010,executiva de contas
745,Firstsource Solutions Ltd.,2000,2000,banker
746,SBICAP Securities Limited,2009,2014,deck cadet
747,Ganesh Hospital,2004,2006,classroom teacher
748,Bharadwaj CareerSolutions,2005,2008,quality assurance supervisor
749,Falconnect Logistics Private Ltd,2015,2018,singer/songwriter
750,Bitla software Pvt. Ltd.,2002,2004,national key account manager
751,4G Identity Solutions Pvt Ltd,2002,2007,assistant production manager
752,P Cube Consulting Pvt. Ltd,2004,2006,contributing editor
753,Expert Adwise,2009,2011,accounts receivable clerk
754,esficace,2000,2001,corretor
755,YUJ Designs,2002,2004,account director
756,Futuronix Automation (P) Limited,2002,2007,financial service representative
757,GE,2001,2002,assembler
758,Ascent iQ staffing business solution,2003,2008,general laborer
759,UrbanClap,2001,2003,technical support
760,SchoolCity Learning India Pvt Ltd.,2007,2012,disabled
761,Global Institute of Intellectual Property,2012,2018,licensed practical nurse
762,Invesco (Hyderabad) Pvt Ltd,2005,2010,student athlete
763,Vara United,2003,2007,trader
764,Acelerar Technologies,2015,2025,student assistant
765,SAP Ariba,2003,2008,national sales director
766,Crystal Crop Protection Pvt. Ltd,2002,2007,lecture
767,UNIVERSAL CONSULTING INDIA PVT LTD,2001,2002,equity research analyst
768,EdCIL (India) Limited,2005,2008,maintenance mechanic
769,Golden Opportunities Pvt Ltd,2002,2004,billing manager
770,Flex-i Partners,2003,2004,store associate
771,Chemcleanzio (I) Pvt. Ltd,2002,2005,application architect
772,Aleph Tav Technologies,2001,2006,licensed real estate salesperson
773,Creaa Designs,2000,2003,executive officer
774,FCI,2010,2012,estimator
775,CarTrade.com,2002,2004,graduate trainee
776,Boss & Peers Consultants,2004,2008,founder and chief executive officer
777,InvenTech Info Solutions Pvt Ltd.,2004,2006,member board of directors
778,Cyberindigo Net Private Limited,2001,2006,prep cook
779,I-Tech Media,2002,2003,msc student
780,Icad Engineering,2003,2007,vertriebsleiter
781,Yellow Box HR Services Pvt. Ltd.,2010,2015,clinical supervisor
782,Leading Client of NPG consultants,2002,2006,aposentada
783,A Leading Pharmaceutical Company,2000,2001,mgr
784,CARMA INTERNATIONAL INDIA PVT. LTD,2010,2014,technical project manager
785,Metabyte India Private Limited,2005,2010,cashier
786,Northern Offshore Drilling Pte. Ltd.,2006,2011,socio director
787,Hindustan Thompson Associate(Division Of IMRB International),2004,2007,support technician
788,Job Vision Consultants,2000,2000,finance consultant
789,Vee En Kay Engineering Consultancy Private Limited,2000,2005,radiographer
790,Sigaram Supermarket,2005,2010,menager
791,XACTLY CORP,2007,2012,assistant professor
792,Fortis Healthcare Ltd,2010,2012,administrative assistant iii
793,JMA Keys India Private Limited,2001,2004,security engineer
794,Elix Software (P) Ltd,2003,2004,field service representative
795,Qua Nutrition Private Limited,2002,2005,independent agent
796,Global Luxury Culture LLP,2004,2007,postmaster
797,ITSL LIMITED,2002,2003,social work
798,College Dunia Web Pvt. Ltd,2001,2005,strategic planner
799,PEOPLEEDGE BUSINESS SOLUTIONS PRIVATE LIMITED,2003,2005,therapist
800,Accord Manpower Services,2002,2007,coder
801,PSR Techno Services Pvt Ltd,2002,2005,sales department
802,The Orchid - Five Star Ecotel Hotel,2001,2002,business objects
803,Dr.Kamakshi Memorial Hospital Private Limited,2001,2004,receiver
804,Insignia,2000,2005,san diego
805,NEG-FIRE,2005,2010,quality assurance officer
806,Biological E Limited,2002,2006,communication specialist
807,Rose Moore,2005,2010,senior sales executive
808,Elite Elevators,2002,2007,assistant general counsel
809,"OVERNITE EXPRESS LTD NO-728, ANNA SALAI, NANDANAM, CHENNAI -600035 OPPS TO YMCA",2001,2004,account specialist
810,Micropoint Computers Pvt. Ltd.,2005,2006,pediatrician
811,Happy Oven Bakery,2005,2010,contract attorney
812,GENX INFO TECHNOLOGIES PVT. LTD,2003,2008,management information systems manager
813,Â Dewan Consultants,2003,2005,analista de calidad
814,NMIMS (School of Science),2002,2005,verkoper
815,hospitalinfrabiz,2010,2012,social media marketing intern
816,Planman HR Pvt. Ltd,2000,2005,operativa
817,Martand Technologies,2005,2010,noc engineer
818,GajShield Infotech (I) Pvt. Ltd,2010,2020,human resource specialist
819,Headhunters Point,2002,2005,sprzedawca
820,Skill Scouters,2002,2007,extern
821,FINO PayTech,2005,2008,representante comercial
822,Chrystec Machine Tools Pvt. Ltd.,2000,2005,contable
823,DATAGUARD Technologies Pvt Ltd,2005,2007,crew chief
824,Bluefin,2003,2008,proyectista
825,CCS Global Tech,2006,2011,commercial director
826,Ameritas Technologies India Private Limited,2002,2003,florist
827,Veom Infotech Private Limited,2006,2008,avocat
828,NAK Engineering Pvt. Ltd,2004,2009,sr recruiter
829,Google India Private Limited,2007,2012,regional marketing manager
830,Cmo axis ltd,2001,2003,adjunct faculty member
831,Cancer Treatment Services Hyderabad Pvt. Ltd.,2003,2005,cashier/customer service
832,Fluke Corporation,2008,2010,accounting supervisor
833,"Archean Group of Companies,",2002,2003,agent
834,ITBMS Inc,2010,2013,financial consultant
835,Amazon Development Centre (India) Pvt. Ltd.,2001,2002,development director
836,C3i Support Services Private Limited,2001,2003,senior system administrator
837,Central Depository Services (India) Ltd.,2002,2004,spa 经理
838,People Ply,2000,2002,quality analyst
839,Startup - CloudInfra,2004,2007,supervisor comercial
840,Elixir 360° Solutions Pvt. Ltd,2003,2008,pensionato
841,Yashraj Biotechnology Limited,2000,2002,shipping clerk
842,CC COMMODITY INFO SERVICES LLP,2003,2008,abogada
843,Select Source International,2002,2007,marketing administrator
844,Enterprise Hiring Solutions-EHS,2009,2014,buyer
845,Easton Media,2005,2010,director of admissions
846,CLIENT OF CAREER SHAPERS HR CONSULTING PVT. LTD.,2002,2007,mommy
847,CSERD Technology Private Limited,2001,2003,stage manager
848,BlackRock Services India Pvt. Ltd.,2000,2003,employer
849,webfries,2003,2008,analista de compras
850,Mount Climb HR Solutions Private Limited,2000,2003,millwright
851,SAM Softech Consultancy Pvt. Limited,2004,2006,human resources representative
852,Position2,2002,2006,operations administrator
853,Educomp Raffles Higher Education Ltd,2010,2015,supervisor
854,"Satmetrix Systems, Inc.",2004,2007,geschäftsführender gesellschafter
855,Career Infosystem,2005,2010,pesquisadora
856,THE INDIAN SCHOOL OF BUSINESS,2001,2005,musician
857,Reliance Industries Ltd,2008,2012,maintenance coordinator
858,ESS Distribution Private Limited,2003,2005,diretor financeiro
859,NIIT Technologies Ltd,2009,2014,promoter
860,Cameo Corporate Services,2001,2002,real estate manager
861,Planman HR Private Limited,2003,2006,information technology recruiter
862,Guru E. Technology,2001,2006,management associate
863,GeoShot Technologies,2003,2005,public relations officer
864,Gionik Human Capital Solutions,2001,2006,mover
865,Scholastic Inc.,2000,2001,librarian
866,Manthan School,2002,2006,trabajador
867,Leo TechnoSoft PVT LTD,2000,2002,programador
868,Vuclip India Pvt. Ltd.,2001,2003,verkoopmedewerker
869,Idexcel Technologies Private Limited,2002,2007,impiegata amministrativa
870,Safexpress Pvt Ltd,2009,2011,project analyst
871,Tradeleaves India Pvt Ltd,2003,2006,elearning
872,Ness Technologies,2002,2007,school teacher
873,Standard Chartered Bank,2003,2005,chief operations officer
874,RASHI CONSULTING HR SOLUTIONS,2000,2003,england
875,S&T Engineers(P) ltd,2010,2019,aluno
876,Neki Projects & Infrastructure Pvt Ltd.,2005,2009,compliance analyst
877,Aspire Systems India (P) Ltd,2003,2006,freelance photographer
878,Kclink Technologies Private Limited,2005,2010,director finance
879,Shri Lakshmi Steel Supplier,2005,2009,medical social worker
880,eSmart Turnkey Solutions Pvt Ltd,2007,2009,portfolio manager
881,Built By Blank,2001,2004,residente
882,ROLAND & ASSOCIATES,2010,2015,director of sales and marketing
883,Falco Developers,2006,2011,principal consultant
884,Subros Limited,2002,2007,apprenticeship
885,Axpress logistics India Pvt. Ltd.,2003,2005,medical laboratory technician
886,Raj Consultancy,2002,2004,physical therapist
887,Verinon Technoloy Solutions Pvt Ltd.,2006,2011,operations assistant
888,1Lotus Marketing Research Services,2002,2007,soporte tecnico
889,Leapzen ( Ektha.com Pvt. Ltd ),2003,2005,auxiliar de recursos humanos
890,CAS Weighing India Pvt. Ltd.,2000,2005,associate lecturer
891,XS CAD India (Pvt.) Limited,2005,2010,research manager
892,SkyMap Global Pte Ltd,2002,2007,presidente
893,Microsoft India (R and D) Pvt Ltd,2001,2004,pædagogmedhjælper
894,DVG Tech Soultions,2005,2010,electrical design engineer
895,doodleblue,2002,2007,special events coordinator
896,Rooman Technologies Pvt. Ltd.,2003,2005,emergency medical technician
897,Avenues Consulting,2000,2005,titular
898,Quest Venture Coordinators Pvt. Ltd,2000,2001,senior web designer
899,Vodafone bpo,2003,2006,game developer
900,Startup - Singulariti.ai,2001,2005,reference librarian
901,Cleartrip Private Limited,2001,2005,resourcing
902,PRAGYA NET TECHNOLOGY,2004,2009,advisor
903,Net Connect Pvt Ltd,2002,2005,tech
904,India International Technical Recruiters,2002,2007,employment consultant
905,CHEMSPEC CHEMICALS PVT LTD,2004,2008,pensionado
906,Anjney Tubes India,2010,2020,proprietário
907,HR Reflections,2002,2007,senior it specialist
908,A Leading Food Processing Industry,2005,2010,direktør
909,Travelworld.com,2007,2016,auxiliar de enfermeria
910,Web Ray Solution Private Limited,2005,2010,assistant service manager
911,Modi Senator,2001,2005,community volunteer
912,Pearl Drinks Limited,2001,2006,it support
913,WINFORT SERVICES,2002,2007,claims processor
914,CriterionSoft India Pvt. Ltd.,2000,2003,co-chair
915,OAKTON CONSULTING TECHNOLOGY,2015,2019,enseignante
916,Kamms management Consultants,2002,2006,junior researcher
917,Vxl Instruments Limited,2000,2003,guest service representative
918,Swift Tecnosol,2007,2008,system engineer
919,Multi Commodity Exchange of India Ltd,2004,2009,house wife
920,Amalgamated Bean Coffee Trading Co Ltd.,2008,2012,material handler
921,Marya Day Agro Foods Pvt. Ltd.,2004,2009,event specialist
922,JVG Consulting,2007,2010,jefe de ventas
923,Ken QA Services,2003,2005,co-president
924,Freelancer Sheena,2002,2004,gymnastics coach
925,Infibeam Inc,2001,2003,laboratory technician
926,Divine Pixel Codes Pvt Ltd,2004,2009,redactora
927,Markit Ltd.,2001,2004,programmer analyst trainee
928,Iopex Technologies Private Limited,2001,2003,medica
929,Career Vaulter,2004,2007,visual artist
930,Job Finder,2002,2005,executive housekeeper
931,Kalpataru Power Transmission Ltd,2000,2005,special education paraprofessional
932,Morelife London Private Limited,2002,2004,technicien informatique
933,Realistic Realtors,2001,2003,bank
934,Saffronart,2007,2012,engineering consultant
935,Coextrix Technologies Private Limited,2002,2006,coordenador de vendas
936,Enterprise IT Solutions,2002,2004,gerente de sistemas
937,Goldman Sachs,2004,2005,vice president operations
938,Shirdi Sai Baba Temple Society,2002,2005,asesor inmobiliario
939,Ant Farm,2001,2006,recruitment
940,Startup - Sezzle,2002,2005,peer tutor
941,SISKIN HEALTH & HOSPITALITY,2013,2017,loan officer
942,Software Labz,2001,2003,assistant consultant
943,SMS Multi Speciality Hospitals LLP,2001,2002,associate buyer
944,Saplings HR,2000,2002,ejecutivo de ventas
945,Human Interface Technologies Pvt. Ltd.,2006,2010,life guard
946,Alethe Consulting,2008,2013,management
947,spm india ltd.,2003,2005,vendedor
948,Magnious Solutions Pvt. Ltd.,2006,2011,residential counselor
949,"ResBird Technologies Private Limited,",2006,2009,shift manager
950,TechProcess Payment Services Limited.,2003,2008,student researcher
951,Zaya Learning Labs,2000,2003,responsable technique
952,Impact HR Services Pvt.Ltd.,2002,2004,senior tax manager
953,Startup - Waggle,2003,2008,group leader
954,ValueHR Services,2000,2004,service crew
955,Startup - hammerhead,2003,2008,assistant operations manager
956,Outsource Ace IT & ITES Solutions Pvt Ltd.,2001,2002,maneger
957,V4U Consultancy,2003,2006,software engineer ii
958,Poonik Technology Pvt.Ltd,2005,2007,project administrator
959,Infopace Management Pvt. Ltd,2008,2010,technicien de maintenance
960,Clearway Advisors,2002,2005,commercial analyst
961,THINK DESIGN COLLABORATIVE PVT. LTD,2005,2007,corporate account manager
962,Quintessence Business Solutions & Services Pvt Ltd,2002,2004,claims manager
963,Sixsigma Softsolutions Pvt Ltd,2004,2008,senior systems engineer
964,InSolare Energy Pvt. Ltd,2005,2007,fundraiser
965,Frrole,2000,2005,costureira
966,RoboWizards Education LLP,2001,2003,customer support engineer
967,CLAIRVOLEX Knowledge Processes Pvt Ltd,2003,2004,data manager
968,EITACIES SOLUTIONS(INDIA) PVT LTD,2000,2001,gerente de operaciones
969,HighPoints Technologies India (P) Ltd.,2001,2005,tennis coach
970,Jagu\\'s SS Technologies (p).Ltd,2000,2005,fitness instructor
971,"Amitysoft Technologies Pvt. Ltd.,",2002,2003,analyst
972,Cleantech Ventures Pvt Ltd.,2003,2008,venditore
973,Indus Novateur Softech Pvt Ltd.,2005,2007,paraprofessional instructional aide
974,GRAND PROPERTIES,2003,2007,scrum master
975,Innoplexus Consulting Services Pvt. Ltd.,2010,2013,chargée de recrutement
976,Drishtee,2003,2004,module lead
977,PMaps Assessment,2001,2004,daycare provider
978,Live Technician Technical Solutions Pvt Ltd,2010,2015,retail sales
979,InfoStretch Corporation (India) Pvt. Ltd,2004,2008,head waiter
980,Webcrea Technologies,2005,2010,patient coordinator
981,NeoSOFT Technologies,2005,2009,geophysicist
982,Intercontinental Consultants and Technocrats Pvt Ltd,2002,2005,sr technical recruiter
983,Green And Wise,2001,2003,custodian
984,VARDAAN INFOSOFT PVT LTD,2000,2004,investigadora
985,Gavin Technologies,2004,2006,chef de cuisine
986,MITYUNG Infotech (P) Ltd.,2006,2010,financial controller
987,Valuepoint Systems Pvt.Ltd,2005,2010,technology coordinator
988,Astic Solutions,2001,2006,technical service representative
989,"HITECH PLACEMENTS, Bangalore",2001,2003,operations
990,Onjection Solutions,2008,2012,audit trainee
991,VDA Infosolutions Pvt. Ltd.,2002,2004,diseñadora gráfica
992,IMS OneWorld,2005,2007,communications coordinator
993,Unified HR Services,2002,2007,medical billing specialist
994,Trimax IT Infrastructure & Services Ltd,2000,2001,analista contable
995,Atkins Global,2005,2010,suporte técnico
996,HI Destination Management Pvt Ltd.,2002,2005,senior account representative
997,Pyoginam,2003,2005,manager assistant
998,ARYATECH ENGINEERING & CONSULTANCY,2004,2007,staff assistant
999,Shivam Autozone India Pvt Ltd,2008,2013,hotel
1000,Heurion Consulting Pvt. Ltd.,2005,2010,business development analyst
1001,Landis+Gyr LTD.,2000,2003,air traffic controller
1002,RDT DIAMOND TOOLS PVT LTD,2002,2007,human resources information systems
1003,Foster Services,2006,2008,dancer
1004,M. J. Biopharm Pvt Ltd,2002,2003,orthopedic surgeon
1005,e-mug Technologies Pvt. Ltd.,2005,2008,promotional
1006,Global One Corporate Services,2001,2006,kierownik
